Yes penalty not specified,Yes death penalty,Yes imprisonment (14 years - life),Laws penalizing same-sex sexual acts have been decriminalized or never existed,No specific legislation,Yes imprisonment (up to 14 years)
Ethiopia [2],Afghanistan [3],Antigua and Barbuda [7],Albania [2],Argentina [2],Algeria [3]
Mauritius [2],Iran (Islamic Republic of) [2],Bangladesh [2],Andorra [3],Bolivia (Plurinational State of) [2],Bhutan [3]
Namibia [2],Iraq [4],Barbados [8],Angola [3],Burkina Faso [2],Brunei Darussalam [3]
Papua New Guinea [2],Mauritania [2],Guyana [2],Armenia [2],Cambodia [2],Burundi [3]
Saint Lucia [2],Pakistan [2],Malawi [2],Australia [3],Central African Republic [2],Cameroon [2]
Uganda [2],Qatar [3],Malaysia [3],Austria [3],China [2],Chad [3]
,Saudi Arabia [3],Myanmar [2],Azerbaijan [2],Comoros [2],Dominica [3]
,Somalia [3],United Republic of Tanzania [2],Bahamas [2],C̫te d'Ivoire [2],Eritrea [3]
,Sudan [3],,Bahrain [3],Democratic Republic of the Congo [2],Eswatini [2]
,United Arab Emirates [3],,Belarus [2],Egypt [2],Gambia [3]
,Yemen [3],,Belgium [3],Georgia [2],Ghana [2]
,,,Belize [3],Guinea-Bissau [2],Grenada [3]
,,,Benin [2],Lesotho [2],Guinea [3]
,,,Bosnia and Herzegovina [3],Mexico [2],Jamaica [2]
,,,Botswana [1],Montenegro [2],Kenya [3]
,,,Brazil [2],Mozambique [2],Kiribati [9]
,,,Bulgaria [3],Nicaragua [2],Kuwait [3]
,,,Cabo Verde [3],Niue [5],Lebanon [3]
,,,Canada [2],Panama [2],Liberia [2]
,,,Chile [6],Republic of Korea [2],Libya [3]
,,,Colombia [2],Republic of Moldova [2],Maldives [3]
,,,Congo [2],Sao Tome and Principe [2],Morocco [2]
,,,Costa Rica [2],Seychelles [2],Niger [2]
,,,Croatia [3],Viet Nam [2],Nigeria [2]
,,,Cuba [3],,Oman [2]
,,,Cyprus [3],,Saint Kitts and Nevis [3]
,,,Czechia [3],,Saint Vincent and the Grenadines [2]
,,,Democratic People's Republic of Korea [3],,Samoa [3]
,,,Denmark [3],,Senegal [2]
,,,Djibouti [3],,Sierra Leone [2]
,,,Dominican Republic [2],,Singapore [2]
,,,Ecuador [2],,Solomon Islands [3]
,,,El Salvador [2],,South Sudan [2]
,,,Equatorial Guinea [3],,Sri Lanka [3]
,,,Estonia [3],,Syrian Arab Republic [3]
,,,Fiji [3],,Togo [2]
,,,Finland [3],,Tonga [3]
,,,France [3],,Tunisia [2]
,,,Gabon [3],,Turkmenistan [3]
,,,Germany [3],,Tuvalu [3]
,,,Greece [3],,Uzbekistan [3]
,,,Guatemala [2],,Zambia [2]
,,,Haiti [2],,Zimbabwe [2]
,,,Honduras [2],,
,,,Hungary [3],,
,,,Iceland [3],,
,,,India [2],,
,,,Indonesia [3],,
,,,Ireland [3],,
,,,Israel [2],,
,,,Italy [3],,
,,,Japan [3],,
,,,Jordan [3],,
,,,Kazakhstan [2],,
,,,Kyrgyzstan [2],,
,,,Lao People's Democratic Republic [3],,
,,,Latvia [3],,
,,,Liechtenstein [3],,
,,,Lithuania [3],,
,,,Luxembourg [3],,
,,,Madagascar [2],,
,,,Mali [2],,
,,,Malta [3],,
,,,Marshall Islands [3],,
,,,Micronesia (Federated States of) [3],,
,,,Monaco [2],,
,,,Mongolia [2],,
,,,Nauru [3],,
,,,Nepal [2],,
,,,Netherlands [3],,
,,,New Zealand [2],,
,,,North Macedonia [3],,
,,,Norway [3],,
,,,Palau [3],,
,,,Paraguay [2],,
,,,Peru [3],,
,,,Philippines [3],,
,,,Poland [3],,
,,,Portugal [3],,
,,,Romania [3],,
,,,Russian Federation [3],,
,,,Rwanda [3],,
,,,San Marino [3],,
,,,Serbia [2],,
,,,Slovakia [3],,
,,,Slovenia [3],,
,,,South Africa [2],,
,,,Spain [3],,
,,,Suriname [3],,
,,,Sweden [3],,
,,,Switzerland [3],,
,,,Tajikistan [2],,
,,,Thailand [3],,
,,,Timor-Leste [3],,
,,,Trinidad and Tobago [3],,
,,,Turkey [3],,
,,,Ukraine [2],,
,,,United Kingdom of Great Britain and Northern Ireland [3],,
,,,United States [3],,
,,,Uruguay [2],,
,,,Vanuatu [3],,
,,,Venezuela (Bolivarian Republic of) [3],,
