Yes,No,No data available
Argentina,Afghanistan,Algeria
Bolivia (Plurinational State of),Albania,Andorra
Brazil,Angola,Australia
Burkina Faso,Antigua and Barbuda,Austria
Canada,Armenia,Bahamas
Congo,Azerbaijan,Bahrain
Costa Rica,Belarus,Bangladesh
C̫te d'Ivoire,Botswana,Barbados
Eswatini,Central African Republic,Belgium
Gabon,Chile,Belize
Georgia,Comoros,Benin
Ghana,Dominican Republic,Bhutan
Indonesia,El Salvador,Bosnia and Herzegovina
Iran (Islamic Republic of),Gambia,Brunei Darussalam
Kazakhstan,Guatemala,Bulgaria
Kyrgyzstan,Guinea,Burundi
Mali,Jordan,Cabo Verde
Mexico,Lesotho,Cambodia
Mongolia,Malawi,Cameroon
Montenegro,Mauritius,Chad
Morocco,Myanmar,China
Nigeria,Nepal,Colombia
Pakistan,Nicaragua,Cook Islands
Panama,Niger,Croatia
Philippines,Oman,Cuba
Republic of Moldova,Paraguay,Cyprus
Rwanda,Saint Lucia,Czechia
Senegal,Sierra Leone,Democratic People's Republic of Korea
Seychelles,Somalia,Democratic Republic of the Congo
Singapore,South Sudan,Denmark
South Africa,Sri Lanka,Djibouti
Thailand,Sudan,Dominica
Togo,Tajikistan,Ecuador
Tunisia,Uganda,Egypt
Turkey,Ukraine,Equatorial Guinea
,United Republic of Tanzania,Eritrea
,Uzbekistan,Estonia
,Venezuela (Bolivarian Republic of),Ethiopia
,Zambia,Fiji
,Zimbabwe,Finland
,,France
,,Germany
,,Greece
,,Grenada
,,Guinea-Bissau
,,Guyana
,,Haiti
,,Honduras
,,Hungary
,,Iceland
,,India
,,Iraq
,,Ireland
,,Israel
,,Italy
,,Jamaica
,,Japan
,,Kenya
,,Kiribati
,,Kuwait
,,Lao People's Democratic Republic
,,Latvia
,,Lebanon
,,Liberia
,,Libya
,,Liechtenstein
,,Lithuania
,,Luxembourg
,,Madagascar
,,Malaysia
,,Maldives
,,Malta
,,Marshall Islands
,,Mauritania
,,Micronesia (Federated States of)
,,Monaco
,,Mozambique
,,Namibia
,,Nauru
,,Netherlands
,,New Zealand
,,Niue
,,North Macedonia
,,Norway
,,Palau
,,Papua New Guinea
,,Peru
,,Poland
,,Portugal
,,Qatar
,,Republic of Korea
,,Romania
,,Russian Federation
,,Saint Kitts and Nevis
,,Saint Vincent and the Grenadines
,,Samoa
,,San Marino
,,Sao Tome and Principe
,,Saudi Arabia
,,Serbia
,,Slovakia
,,Slovenia
,,Solomon Islands
,,Spain
,,Suriname
,,Sweden
,,Switzerland
,,Syrian Arab Republic
,,Timor-Leste
,,Tonga
,,Trinidad and Tobago
,,Turkmenistan
,,Tuvalu
,,United Arab Emirates
,,United Kingdom of Great Britain and Northern Ireland
,,United States of America
,,Uruguay
,,Vanuatu
,,Viet Nam
,,Yemen
